"","ID","Ptt","HistType","Date","Time.Offset","Count","NumBins","Sum","0-1 m","1-2 m","2-4 m","4-5 m","5-6 m","6-10 m","10-20 m","20-50 m","50-100 m","100-200 m","200-300 m","300-500 m","500-700 m",">700 m"
"1",229299,128155,"TAD",42199.95833,28,97,9,100,20,80,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"2",229300,128155,"TAD",42200,28,44,9,100,17,45.4,34.1,2.8,0,0,0,0,0,NA,NA,NA,NA,NA
"3",229301,128155,"TAD",42200.25,28,33,9,100,17,41.8,27.9,12.5,0.4,0,0,0,0,NA,NA,NA,NA,NA
"4",229302,128155,"TAD",42200.5,28,25,9,100,24,32.4,36.7,6.5,0.2,0,0,0,0,NA,NA,NA,NA,NA
"5",229303,128155,"TAD",42200.75,28,28,9,100,39,44.8,15,0.6,0,0,0,0,0,NA,NA,NA,NA,NA
"6",229304,128155,"TAD",42201,28,15,9,100,40,39.7,19.5,0.2,0,0,0,0,0,NA,NA,NA,NA,NA
"7",229305,128155,"TAD",42201.25,28,19,9,100,36,23.9,39.4,0,0,0,0,0,0,NA,NA,NA,NA,NA
"8",229306,128155,"TAD",42201.5,28,16,9,100,33,18.8,47.7,0,0,0,0,0,0,NA,NA,NA,NA,NA
"9",229307,128155,"TAD",42201.75,28,16,9,100,30,19.4,49.5,0.2,0,0,0,0,0,NA,NA,NA,NA,NA
"10",229308,128155,"TAD",42202,28,9,9,100,24,21.5,48.8,5.3,0,0,0,0,0,NA,NA,NA,NA,NA
"11",229309,128155,"TAD",42202.25,28,9,9,100,24,23.1,50,2.5,0,0,0,0,0,NA,NA,NA,NA,NA
"12",229310,128155,"TAD",42202.5,28,15,9,100,23,22.3,52.7,1.2,0,0,0,0,0,NA,NA,NA,NA,NA
"13",229311,128155,"TAD",42202.75,28,16,9,100,25,24.8,49.1,0.7,0,0,0,0,0,NA,NA,NA,NA,NA
"14",229312,128155,"TAD",42203,28,13,9,100,32,23.5,40.7,3.5,0,0,0,0,0,NA,NA,NA,NA,NA
"15",229313,128155,"TAD",42203.25,28,9,9,100,38,35.9,25.3,0.6,0,0,0,0,0,NA,NA,NA,NA,NA
"16",229314,128155,"TAD",42203.5,28,9,9,100,31,28.6,40.4,0,0,0,0,0,0,NA,NA,NA,NA,NA
"17",229315,128155,"TAD",42203.75,28,8,9,100,28,27.2,44.3,0.2,0,0,0,0,0,NA,NA,NA,NA,NA
"18",229316,128155,"TAD",42204,28,11,9,100,26,25.9,43.9,3.9,0,0,0,0,0,NA,NA,NA,NA,NA
"19",229317,128155,"TAD",42204.25,28,10,9,100,35,30.9,33.3,0.2,0,0,0,0,0,NA,NA,NA,NA,NA
"20",229318,128155,"TAD",42204.5,28,7,9,100,30,35.2,31.2,3.1,0,0,0,0,0,NA,NA,NA,NA,NA
"21",229319,128155,"TAD",42204.75,28,9,9,100,39,33.3,27.5,0.2,0,0,0,0,0,NA,NA,NA,NA,NA
"22",229320,128155,"TAD",42205,28,10,9,100,31,30.8,35.8,1.5,0,0,0,0,0,NA,NA,NA,NA,NA
"23",229321,128155,"TAD",42205.25,28,5,9,100,42,26.7,23.2,7.8,0,0,0,0,0,NA,NA,NA,NA,NA
"24",229322,128155,"TAD",42205.5,28,11,9,100,27,32.7,39,1.1,0,0,0,0,0,NA,NA,NA,NA,NA
"25",229323,128155,"TAD",42205.75,28,9,9,100,27,43.4,28.7,0.2,0,0,0,0,0,NA,NA,NA,NA,NA
"26",229324,128155,"TAD",42206,28,4,9,100,29,32.1,36.2,1.9,0,0,0,0,0,NA,NA,NA,NA,NA
"27",229325,128155,"TAD",42206.25,28,12,9,100,25,36.4,37.5,0.6,0,0,0,0,0,NA,NA,NA,NA,NA
"28",229326,128155,"TAD",42206.5,28,5,9,100,18,27.3,53.6,0.2,0,0,0,0,0,NA,NA,NA,NA,NA
"29",229327,128155,"TAD",42206.75,28,9,9,100,19,30.2,50,0.2,0,0,0,0,0,NA,NA,NA,NA,NA
"30",229328,128155,"TAD",42207,28,8,9,100,28,34.5,35.6,1.5,0,0,0,0,0,NA,NA,NA,NA,NA
"31",229329,128155,"TAD",42207.25,28,6,9,100,26,49.8,21.8,1.9,0,0,0,0,0,NA,NA,NA,NA,NA
"32",229330,128155,"TAD",42207.5,28,10,9,100,14,27.3,58.6,0,0,0,0,0,0,NA,NA,NA,NA,NA
"33",229331,128155,"TAD",42207.75,28,5,9,100,13,34.5,50.9,1.4,0,0,0,0,0,NA,NA,NA,NA,NA
"34",229332,128155,"TAD",42208,28,4,9,100,13,34.5,50.2,1.9,0,0,0,0,0,NA,NA,NA,NA,NA
"35",229333,128155,"TAD",42208.25,28,9,9,100,16,33.6,48.6,0.9,0,0,0,0,0,NA,NA,NA,NA,NA
"36",229334,128155,"TAD",42208.5,28,7,9,100,15,26.2,53.9,4.9,0,0,0,0,0,NA,NA,NA,NA,NA
"37",229335,128155,"TAD",42208.75,28,6,9,100,18,43.4,38.2,0,0,0,0,0,0,NA,NA,NA,NA,NA
"38",229336,128155,"TAD",42209,28,7,9,100,18,25.7,54.9,1.2,0,0,0,0,0,NA,NA,NA,NA,NA
"39",229337,128155,"TAD",42209.25,28,4,9,100,24,32.6,35.1,8.1,0,0,0,0,0,NA,NA,NA,NA,NA
"40",229338,128155,"TAD",42209.5,28,7,9,100,25,28,39.8,6.5,0,0,0,0,0,NA,NA,NA,NA,NA
"41",229339,128155,"TAD",42209.75,28,16,9,100,24,19.4,29.4,26.8,0,0,0,0,0,NA,NA,NA,NA,NA
"42",229340,128155,"TAD",42210,28,13,9,100,27,40.9,27.8,4.1,0,0,0,0,0,NA,NA,NA,NA,NA
"43",229341,128155,"TAD",42210.25,28,11,9,100,26,27.8,45.6,0,0,0,0,0,0,NA,NA,NA,NA,NA
"44",229342,128155,"TAD",42210.5,28,8,9,100,19,30.5,49.7,0,0,0,0,0,0,NA,NA,NA,NA,NA
"45",229343,128155,"TAD",42210.75,28,10,9,100,20,32.8,46.3,0,0,0,0,0,0,NA,NA,NA,NA,NA
"46",229344,128155,"TAD",42211,28,10,9,100,23,48.5,28.1,0,0,0,0,0,0,NA,NA,NA,NA,NA
