"","Date","mean","min","max","median","sd"
"1",2015-07-10,67.8666666666667,46.4,90.2,67,21.912857717179
"2",2015-07-11,78.8125,58.4,97.9,79.6,8.75647379561735
"3",2015-07-12,70.41,34.5,96.9,74.7,19.5801161224448
"4",2015-07-13,65.0913043478261,42.1,96.5,58.8,17.5648127864018
"5",2015-07-14,54.5916666666667,32.4,86.3,53,13.7191366399248
"6",2015-07-15,61.64,35.3,100,59.3,14.7765553575688
"7",2015-07-16,52.45,24.4,83.8,49.15,13.3778815320556
"8",2015-07-17,51.4352941176471,26.5,75.3,50.25,12.1497694791186
"9",2015-07-18,50.6611111111111,27.5,87.4,50.2,13.5668772652427
"10",2015-07-19,50.2666666666667,30.4,77.9,49.5,13.2009523465977
"11",2015-07-20,57.6277777777778,25.7,95.8,58.75,16.7348159085203
"12",2015-07-21,60.0823529411765,27.3,96.1,56.4,16.6100457115062
"13",2015-07-22,64.5060606060606,30.1,92.8,61.9,18.0008669824876
"14",2015-07-23,58.8194444444444,22.4,92.9,57.9,20.7808265949229
"15",2015-07-24,46.7777777777778,19.7,81.6,44.65,14.5161016236869
"16",2015-07-25,57.3861111111111,18.9,96.4,55.85,21.0031991138463
"17",2015-07-26,62.7388888888889,16.4,96.1,63.9,20.8207901287944
"18",2015-07-27,65.1142857142857,21.9,98.8,64.3,22.1835278430421
"19",2015-07-28,57.0257142857143,27.8,96,53.3,19.1783938304532
"20",2015-07-29,55.8361111111111,16.9,98.7,53.15,18.309063372748
"21",2015-07-30,39.9194444444444,17.8,96,37.55,16.9216483399131
"22",2015-07-31,49.7971428571429,21,84.6,50.8,19.66358960878
"23",2015-08-01,43.2971428571429,18.1,85.9,44.9,16.4938221182122
"24",2015-08-02,35.6861111111111,14.5,78.1,33.45,14.7659676820485
"25",2015-08-03,43.2,15.6,73.4,45.1,15.7605613516032
"26",2015-08-04,48.3794117647059,16.5,85.8,45.85,17.9627186207866
"27",2015-08-05,57.0545454545455,21.7,99,56.6,21.4610124835289
"28",2015-08-06,59.6515151515151,21.4,99,57.3,21.302686468086
"29",2015-08-07,55.8514285714286,9.9,98.2,57.9,24.3272586331679
"30",2015-08-08,59.1055555555556,16.7,91.2,58.7,21.2790969792886
"31",2015-08-09,60.5771428571429,20.4,96.9,63.1,21.5995790497419
"32",2015-08-10,58.2942857142857,19.5,99.9,56.6,20.9315262204161
"33",2015-08-11,64.5088235294118,20.1,93.7,66.85,20.2914427052101
"34",2015-08-12,63.4638888888889,16.8,99.3,62.7,20.0209911668126
"35",2015-08-13,72.0114285714286,32.8,96.1,77,18.2326754422249
"36",2015-08-14,68.2628571428571,20.7,99.1,72.4,21.4258239695259
"37",2015-08-15,48.9055555555556,12.6,80.4,48,17.5261265290169
"38",2015-08-16,46.8314285714286,13,74.8,49.5,14.5173683287735
"39",2015-08-17,48.4972222222222,17.5,84.1,51.8,18.1523943499176
"40",2015-08-18,54.9916666666667,12.2,87.6,59.05,19.7206255333996
"41",2015-08-19,51.2571428571429,12.9,94.3,52,17.3277452746317
"42",2015-08-20,50.4138888888889,14.4,97.7,50.2,18.8758220676653
"43",2015-08-21,45.3285714285714,11.7,97.8,43.3,17.5805803864005
"44",2015-08-22,44.8914285714286,17.4,77.7,42.7,14.0202662437708
"45",2015-08-23,40.74,15,71.3,40.4,13.8518038748834
"46",2015-08-24,39.6277777777778,14.2,78.8,39.75,13.5535891105558
"47",2015-08-25,45.9,13.7,83,42.55,17.7666943625264
"48",2015-08-26,49.1705882352941,12.5,91.8,48.95,18.2877924080148
"49",2015-08-27,48.1833333333333,14.3,91.7,45.75,19.6225744633936
"50",2015-08-28,51.6416666666667,16.6,85.2,55,16.3778661613777
"51",2015-08-29,51.9114285714286,19.7,87.9,49.3,17.5349360761104
"52",2015-08-30,42.2805555555556,9.7,84.6,42.5,16.9609100066585
"53",2015-08-31,41.0055555555556,9.2,87.7,43.45,16.6145709620793
"54",2015-09-01,43.15,14.6,70.3,42.05,13.6848717307001
"55",2015-09-02,44.4916666666667,11.9,88.4,43.2,17.1733410510926
"56",2015-09-03,53.6055555555556,17,85.2,54.6,17.8623137910029
"57",2015-09-04,42.9885714285714,12.3,83.4,40.3,18.5142357219991
"58",2015-09-05,38.5742857142857,9.6,73.3,37.2,13.2052205108243
"59",2015-09-06,35.9916666666667,12.6,59.8,36.4,12.8236695216307
"60",2015-09-07,35.4647058823529,8.1,64.4,35.05,13.1725353016991
"61",2015-09-08,33.0941176470588,11,62.2,32.35,13.1368309719559
"62",2015-09-09,33.7242424242424,11.3,85.4,30.9,14.9330805241047
"63",2015-09-10,37.4625,17.8,74.7,35.4,14.5562036436747
"64",2015-09-11,41.6181818181818,16.2,85.8,38.9,16.6640604022822
"65",2015-09-12,38.2352941176471,14.4,74.8,36.1,15.2945797955679
"66",2015-09-13,42.865625,24.1,75.2,37.25,13.9584084815823
